MP name,Constituency,Office maximum budget available,Reason for budget set,Office spend,Remaining office budget,First part of the Postcode,Staffing maximum budget available,Reason for budget set,Staffing spend,Remaining staffing budget,Start-up maximum budget available,Reason for budget set,Startup spend,Remaining startup budget,Wind-up maximum budget available,Reason for budget set,Windup spend,Remaining windup budget,Subtotal of office running costs,Accommodation maximum budget available,Reason for budget set,Did the MP rent their accommodation from another MP during this financial year?,Accommodation spend,Remaining budget,First part of the Postcode,Travel/subsistence max budget,Travel/subs spend,Other costs maximum budget available,Other spend,Subtotal of other parliamentary costs,Overall total spend for this financial year
"Andrew George","St Ives CC","","","£22,197.81","£0.00","","","","£126,677.23","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£148,875.04","","","","£15,232.00","£0.00","","Uncapped","£14,083.28","Uncapped","£315.00","£29,630.28","£178,505.32"
"Andrew Griffiths","Burton CC","","","£20,336.79","£0.00","","","","£88,806.22","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£109,143.01","","","","£15,415.55","£0.00","","Uncapped","£5,355.86","Uncapped","£0.00","£20,771.41","£129,914.42"
"Andrew Gwynne","Denton and Reddish BC","","","£15,314.81","£0.00","","","","£116,452.79","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£131,767.60","","","","£18,291.47","£0.00","","Uncapped","£5,941.02","Uncapped","£0.00","£24,232.49","£156,000.09"
"Andrew Jones","Harrogate and Knaresborough CC","","","£20,740.10","£0.00","","","","£110,951.98","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£131,692.08","","","","£1,737.42","£0.00","","Uncapped","£10,385.04","Uncapped","£0.00","£12,122.46","£143,814.54"
"Andrew Lansley","South Cambridgeshire CC","","","£20,370.76","£0.00","","","","£108,819.26","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£129,190.02","","","","£4,776.05","£0.00","","Uncapped","£4,858.27","Uncapped","£0.00","£9,634.32","£138,824.34"
"Andrew Miller","Ellesmere Port and Neston CC","","","£17,265.59","£0.00","","","","£111,755.46","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£129,021.05","","","","£8,325.90","£0.00","","Uncapped","£8,766.47","Uncapped","£0.00","£17,092.37","£146,113.42"
"Andrew Mitchell","Sutton Coldfield BC","","","£18,528.36","£0.00","","","","£112,051.36","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£130,579.72","","","","£7,348.80","£0.00","","Uncapped","£5,790.96","Uncapped","£0.00","£13,139.76","£143,719.48"
"Andrew Murrison","South West Wiltshire CC","","","£18,329.27","£0.00","","","","£61,520.95","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£79,850.22","","","","£6,398.83","£0.00","","Uncapped","£2,550.35","Uncapped","£0.00","£8,949.18","£88,799.40"
"Andrew Percy","Brigg and Goole CC","","","£15,363.57","£0.00","","","","£118,700.62","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£134,064.19","","","","£9,536.06","£0.00","","Uncapped","£6,049.18","Uncapped","£0.00","£15,585.24","£149,649.43"
"Andrew Robathan","South Leicestershire CC","","","£1,906.19","£0.00","","","","£78,994.20","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£80,900.39","","","","£6,543.57","£0.00","","Uncapped","£4,099.35","Uncapped","£0.00","£10,642.92","£91,543.31"
"Andrew Rosindell","Romford BC","","","£25,406.79","£0.00","","","","£144,497.10","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£169,903.89","","","","£0.00","£0.00","","Uncapped","£2,074.43","Uncapped","£0.00","£2,074.43","£171,978.32"
"Andrew Selous","South West Bedfordshire CC","","","£13,904.15","£0.00","","","","£124,342.22","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£138,246.37","","","","£0.00","£0.00","","Uncapped","£734.00","Uncapped","£0.00","£734.00","£138,980.37"
"Andrew Smith","Oxford East BC","","","£21,929.05","£0.00","","","","£136,003.70","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£157,932.75","","","","£2,405.67","£0.00","","Uncapped","£2,782.05","Uncapped","£0.00","£5,187.72","£163,120.47"
"Andrew Stephenson","Pendle BC","","","£18,196.38","£0.00","","","","£130,724.17","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£148,920.55","","","","£6,123.08","£0.00","","Uncapped","£6,194.95","Uncapped","£0.00","£12,318.03","£161,238.58"
"Andrew Stunell","Hazel Grove CC","","","£24,099.09","£0.00","","","","£128,571.78","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£152,670.87","","","","£1,902.84","£0.00","","Uncapped","£7,653.27","Uncapped","£0.00","£9,556.11","£162,226.98"
"Andrew Turner","Isle of Wight CC","","","£15,959.87","£0.00","","","","£121,356.87","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£137,316.74","","","","£20,000.00","£0.00","","Uncapped","£6,053.82","Uncapped","£0.00","£26,053.82","£163,370.56"
"Andrew Tyrie","Chichester CC","","","£8,155.71","£0.00","","","","£124,992.44","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£133,148.15","","","","£15,380.43","£0.00","","Uncapped","£2,013.60","Uncapped","£0.00","£17,394.03","£150,542.18"
"Andy Burnham","Leigh CC","","","£18,294.33","£0.00","","","","£134,288.09","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£152,582.42","","","","£17,564.44","£0.00","","Uncapped","£6,101.71","Uncapped","£0.00","£23,666.15","£176,248.57"
"Andy Love","Edmonton BC","","","£22,677.35","£0.00","","","","£131,914.65","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£154,592.00","","","","£0.00","£0.00","","Uncapped","£1,762.44","Uncapped","£0.00","£1,762.44","£156,354.44"
"Andy McDonald","Middlesbrough BC","","","£4,455.48","£0.00","","","","£23,631.22","£0.00","n/a","","£543.29","£0.00","n/a","","£0.00","£0.00","£28,629.99","","","","£13,996.92","£0.00","","Uncapped","£4,064.25","Uncapped","£0.00","£18,061.17","£46,691.16"
"Andy Sawford","Corby CC","","","£9,210.33","£0.00","","","","£28,035.68","£0.00","n/a","","£3,000.00","£0.00","n/a","","£0.00","£0.00","£40,246.01","","","","£9,767.95","£0.00","","Uncapped","£2,823.65","Uncapped","£0.00","£12,591.60","£52,837.61"
"Andy Slaughter","Hammersmith BC","","","£24,562.36","£0.00","","","","£141,377.49","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£165,939.85","","","","£0.00","£0.00","","Uncapped","£2,121.00","Uncapped","£0.00","£2,121.00","£168,060.85"
"Angela Eagle","Wallasey BC","","","£16,066.48","£0.00","","","","£130,226.86","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£146,293.34","","","","£5,319.57","£0.00","","Uncapped","£5,134.80","Uncapped","£0.00","£10,454.37","£156,747.71"
"Angela Smith","Penistone and Stocksbridge CC","","","£17,466.89","£0.00","","","","£108,477.72","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£125,944.61","","","","£19,705.73","£0.00","","Uncapped","£8,719.25","Uncapped","£0.00","£28,424.98","£154,369.59"
"Angela Watkinson","Hornchurch and Upminster BC","","","£21,324.47","£0.00","","","","£131,346.35","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£152,670.82","","","","£0.00","£0.00","","Uncapped","£550.50","Uncapped","£0.00","£550.50","£153,221.32"
"Angie Bray","Ealing Central and Acton BC","","","£10,884.96","£0.00","","","","£123,454.53","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£134,339.49","","","","£0.00","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£0.00","£134,339.49"
"Angus MacNeil","Na h-Eileanan an Iar CC","","","£12,972.69","£0.00","","","","£106,377.70","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£119,350.39","","","","£16,644.85","£0.00","","Uncapped","£42,103.33","Uncapped","£0.00","£58,748.18","£178,098.57"
"Angus Robertson","Moray CC","","","£20,499.89","£0.00","","","","£113,335.55","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£133,835.44","","","","£18,071.99","£0.00","","Uncapped","£22,037.41","Uncapped","£0.00","£40,109.40","£173,944.84"
"Ann Clwyd","Cynon Valley CC","","","£18,090.08","£0.00","","","","£106,450.90","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£124,540.98","","","","£7,101.77","£0.00","","Uncapped","£4,445.00","Uncapped","£0.00","£11,546.77","£136,087.75"
"Ann Coffey","Stockport BC","","","£19,514.67","£0.00","","","","£109,040.24","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£128,554.91","","","","£9,489.95","£0.00","","Uncapped","£7,392.05","Uncapped","£0.00","£16,882.00","£145,436.91"
"Ann McKechin","Glasgow North BC","","","£25,374.84","£0.00","","","","£138,473.60","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£163,848.44","","","","£3,091.93","£0.00","","Uncapped","£16,712.43","Uncapped","£3,562.00","£23,366.36","£187,214.80"
"Anna Soubry","Broxtowe CC","","","£25,134.70","£0.00","","","","£104,039.38","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£129,174.08","","","","£20,019.96","£0.00","","Uncapped","£4,827.65","Uncapped","£507.20","£25,354.81","£154,528.89"
"Anne Begg","Aberdeen South BC","","","£24,721.71","£0.00","","","","£137,880.42","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£162,602.13","","","","£20,000.00","£0.00","","Uncapped","£13,760.29","Uncapped","£0.00","£33,760.29","£196,362.42"
"Anne Main","St Albans CC","","","£14,279.80","£0.00","","","","£109,853.34","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£124,133.14","","","","£0.00","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£0.00","£124,133.14"
"Anne McGuire","Stirling CC","","","£18,840.11","£0.00","","","","£136,283.10","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£155,123.21","","","","£18,315.06","£0.00","","Uncapped","£15,275.79","Uncapped","£0.00","£33,590.85","£188,714.06"
"Anne McIntosh","Thirsk and Malton CC","","","£10,408.28","£0.00","","","","£114,775.74","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£125,184.02","","","","£11,022.91","£0.00","","Uncapped","£13,485.00","Uncapped","£0.00","£24,507.91","£149,691.93"
"Anne Milton","Guildford CC","","","£15,543.94","£0.00","","","","£109,378.80","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£124,922.74","","","","£0.00","£0.00","","Uncapped","£3,055.93","Uncapped","£0.00","£3,055.93","£127,978.67"
"Anne Morris","Newton Abbot CC","","","£22,269.89","£0.00","","","","£126,819.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£149,088.89","","","","£19,500.24","£0.00","","Uncapped","£9,183.26","Uncapped","£368.28","£29,051.78","£178,140.67"
"Annette Brooke","Mid Dorset and North Poole CC","","","£13,444.37","£0.00","","","","£105,831.33","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£119,275.70","","","","£12,073.15","£0.00","","Uncapped","£2,178.29","Uncapped","£0.00","£14,251.44","£133,527.14"
"Austin Mitchell","Great Grimsby BC","","","£20,129.02","£0.00","","","","£131,869.65","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£151,998.67","","","","£8,633.04","£0.00","","Uncapped","£6,993.58","Uncapped","£5,738.00","£21,364.62","£173,363.29"
"Barbara Keeley","Worsley and Eccles South CC","","","£24,823.12","£0.00","","","","£101,089.09","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£125,912.21","","","","£0.00","£0.00","","Uncapped","£5,675.44","Uncapped","£0.00","£5,675.44","£131,587.65"
"Barry Gardiner","Brent North BC","","","£21,710.42","£0.00","","","","£150,101.78","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£171,812.20","","","","£0.00","£0.00","","Uncapped","£2,896.55","Uncapped","£0.00","£2,896.55","£174,708.75"
"Barry Sheerman","Huddersfield BC","","","£21,848.93","£0.00","","","","£119,089.93","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£140,938.86","","","","£9,739.08","£0.00","","Uncapped","£6,760.49","Uncapped","£0.00","£16,499.57","£157,438.43"
"Ben Bradshaw","Exeter BC","","","£21,595.45","£0.00","","","","£79,946.94","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£101,542.39","","","","£9,130.42","£0.00","","Uncapped","£4,513.20","Uncapped","£0.00","£13,643.62","£115,186.01"
"Ben Gummer","Ipswich BC","","","£23,511.65","£0.00","","","","£121,618.11","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£145,129.76","","","","£14,836.40","£0.00","","Uncapped","£8,955.14","Uncapped","£0.00","£23,791.54","£168,921.30"
"Ben Wallace","Wyre and Preston North CC","","","£15,999.93","£0.00","","","","£117,082.19","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£133,082.12","","","","£24,244.81","£0.00","","Uncapped","£18,238.39","Uncapped","£0.00","£42,483.20","£175,565.32"
