Person ID,First name,Last name,Party,Constituency,URI
11792,Nick,Hurd,Conservative,"Ruislip, Northwood and Pinner",https://www.theyworkforyou.com/mp/11792/nick_hurd/ruislip%2C_northwood_and_pinner
24880,Mark,Pawsey,Conservative,Rugby,https://www.theyworkforyou.com/mp/24880/mark_pawsey/rugby
10401,Denis,MacShane,Labour,Rotherham,https://www.theyworkforyou.com/mp/10401/denis_macshane/rotherham
10027,Kevin,Barron,Labour,Rother Valley,https://www.theyworkforyou.com/mp/10027/kevin_barron/rother_valley
24860,Jake,Berry,Conservative,Rossendale and Darwen,https://www.theyworkforyou.com/mp/24860/jake_berry/rossendale_and_darwen
10334,Charles,Kennedy,Liberal Democrat,"Ross, Skye and Lochaber",https://www.theyworkforyou.com/mp/10334/charles_kennedy/ross%2C_skye_and_lochaber
24809,Caroline,Nokes,Conservative,Romsey and Southampton North,https://www.theyworkforyou.com/mp/24809/caroline_nokes/romsey_and_southampton_north
11199,Andrew,Rosindell,Conservative,Romford,https://www.theyworkforyou.com/mp/11199/andrew_rosindell/romford
11785,James,Duddridge,Conservative,Rochford and Southend East,https://www.theyworkforyou.com/mp/11785/james_duddridge/rochford_and_southend_east
24899,Mark,Reckless,Conservative,Rochester and Strood,https://www.theyworkforyou.com/mp/24899/mark_reckless/rochester_and_strood
24808,Simon,Danczuk,Labour,Rochdale,https://www.theyworkforyou.com/mp/24808/simon_danczuk/rochdale
24911,Zac,Goldsmith,Conservative,Richmond Park,https://www.theyworkforyou.com/mp/24911/zac_goldsmith/richmond_park
10251,William,Hague,Conservative,Richmond (Yorks),https://www.theyworkforyou.com/mp/10251/william_hague/richmond_%28yorks%29
10190,Nigel,Evans,Conservative,Ribble Valley,https://www.theyworkforyou.com/mp/10190/nigel_evans/ribble_valley
10761,Chris,Bryant,Labour,Rhondda,https://www.theyworkforyou.com/mp/10761/chris_bryant/rhondda
10051,Crispin,Blunt,Conservative,Reigate,https://www.theyworkforyou.com/mp/10051/crispin_blunt/reigate
24856,Karen,Lumley,Conservative,Redditch,https://www.theyworkforyou.com/mp/24856/karen_lumley/redditch
24819,Ian,Swales,Liberal Democrat,Redcar,https://www.theyworkforyou.com/mp/24819/ian_swales/redcar
